CM Course,Type Key,State Key,Name,Descr,formatID,shortName
PHYS624,,,Lecture Only,Courses with Lecture only,,LEC 
PHYS675,,,Lecture Only,Courses with Lecture only,,LEC 
PHYS715,,,Lecture Only,Courses with Lecture only,,LEC 
PHYS721,,,Lecture Only,Courses with Lecture only,,LEC 
PHYS728,,,Lecture Only,Courses with Lecture only,,LEC 
PHYS731,,,Lecture Only,Courses with Lecture only,,LEC 
PHYS738,,,Lecture Only,Courses with Lecture only,,LEC 
PHYS739,,,Lecture Only,Courses with Lecture only,,LEC 
PHYS748,,,Lecture Only,Courses with Lecture only,,LEC 
PHYS749,,,Lecture Only,Courses with Lecture only,,LEC 
PHYS751,,,Lecture Only,Courses with Lecture only,,LEC 
PHYS758,,,Lecture Only,Courses with Lecture only,,LEC 
PHYS759,,,Lecture Only,Courses with Lecture only,,LEC 
PHYS761,,,Lecture Only,Courses with Lecture only,,LEC 
PHYS769,,,Lecture Only,Courses with Lecture only,,LEC 
PHYS778,,,Lecture Only,Courses with Lecture only,,LEC 
PHYS779,,,Lecture Only,Courses with Lecture only,,LEC 
PHYS798,,,Lecture Only,Courses with Lecture only,,LEC 
PHYS799,,,Lecture Only,Courses with Lecture only,,LEC 
PHYS838,,,Lecture Only,Courses with Lecture only,,LEC 
PHYS898,,,Lecture Only,Courses with Lecture only,,LEC 
PHYS899,,,Lecture Only,Courses with Lecture only,,LEC 
WMST200,,,Lecture Only,Courses with Lecture only,,LEC 
WMST200,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
WMST212,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
WMST212,,,Lecture Only,Courses with Lecture only,,LEC 
WMST250,,,Lecture Only,Courses with Lecture only,,LEC 
WMST250,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
WMST255,,,Lecture Only,Courses with Lecture only,,LEC 
WMST255,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
WMST263,,,Lecture Only,Courses with Lecture only,,LEC 
WMST263,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
WMST269,,,Lecture Only,Courses with Lecture only,,LEC 
WMST269,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
WMST275,,,Lecture Only,Courses with Lecture only,,LEC 
WMST275,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
WMST298,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
WMST298,,,Lecture Only,Courses with Lecture only,,LEC 
WMST300,,,Lecture Only,Courses with Lecture only,,LEC 
WMST300,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
WMST314,,,Lecture Only,Courses with Lecture only,,LEC 
WMST314,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
WMST325,,,Lecture Only,Courses with Lecture only,,LEC 
WMST325,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
WMST336,,,Lecture Only,Courses with Lecture only,,LEC 
WMST336,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
WMST348,,,Lecture Only,Courses with Lecture only,,LEC 
WMST348,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
WMST369,,,Lecture Only,Courses with Lecture only,,LEC 
WMST369,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
WMST386,,,Lecture Only,Courses with Lecture only,,LEC 
WMST386,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
WMST400,,,Lecture Only,Courses with Lecture only,,LEC 
WMST400,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
WMST408,,,Lecture Only,Courses with Lecture only,,LEC 
WMST408,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
WMST444,,,Lecture Only,Courses with Lecture only,,LEC 
