CM Course,Type Key,State Key,Name,Descr,formatID,shortName
ENGL878,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL879,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL888,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL898,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL899,,,Lecture Only,Courses with Lecture only,,LEC 
HIST110,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
HIST110,,,Lecture Only,Courses with Lecture only,,LEC 
HIST113,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
HIST113,,,Lecture Only,Courses with Lecture only,,LEC 
HIST120,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
HIST120,,,Lecture Only,Courses with Lecture only,,LEC 
HIST122,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
HIST122,,,Lecture Only,Courses with Lecture only,,LEC 
HIST130,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
HIST130,,,Lecture Only,Courses with Lecture only,,LEC 
HIST133,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
HIST133,,,Lecture Only,Courses with Lecture only,,LEC 
HIST136,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
HIST136,,,Lecture Only,Courses with Lecture only,,LEC 
HIST137,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
HIST137,,,Lecture Only,Courses with Lecture only,,LEC 
HIST140,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
HIST140,,,Lecture Only,Courses with Lecture only,,LEC 
HIST200,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
HIST200,,,Lecture Only,Courses with Lecture only,,LEC 
HIST201,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
HIST201,,,Lecture Only,Courses with Lecture only,,LEC 
HIST204,,,Lecture Only,Courses with Lecture only,,LEC 
HIST204,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
HIST206,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
HIST206,,,Lecture Only,Courses with Lecture only,,LEC 
HIST208,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
HIST208,,,Lecture Only,Courses with Lecture only,,LEC 
HIST212,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
HIST212,,,Lecture Only,Courses with Lecture only,,LEC 
HIST213,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
HIST213,,,Lecture Only,Courses with Lecture only,,LEC 
HIST219,,,Lecture Only,Courses with Lecture only,,LEC 
HIST219,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
HIST220,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
HIST220,,,Lecture Only,Courses with Lecture only,,LEC 
HIST221,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
HIST221,,,Lecture Only,Courses with Lecture only,,LEC 
HIST224,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
HIST224,,,Lecture Only,Courses with Lecture only,,LEC 
HIST232,,,Lecture Only,Courses with Lecture only,,LEC 
HIST232,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
HIST233,,,Lecture Only,Courses with Lecture only,,LEC 
HIST233,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
HIST250,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
